상호작용항,β,SE,p값,OR,CI_low,CI_high,유의도,논문β_n1100,논문p_n1100
인증보유×고용노동부감독,0.2069,0.0765,0.0068,1.2298,1.0586,1.4287,**,0.161,0.063
위험성평가수준×고용노동부감독,-0.1559,0.0915,0.0884,0.8557,0.7152,1.0237,,,
작업반장기여×전문지도,-0.1424,0.0843,0.091,0.8672,0.7352,1.023,,-0.183,0.055
위험성평가수준×안전보건공단지원,0.1265,0.0827,0.1261,1.1348,0.9651,1.3345,,,
위원회수준×고용노동부감독,-0.1173,0.0802,0.1433,0.8893,0.76,1.0406,,,
정리정돈상태×고용노동부감독,0.1324,0.0918,0.1491,1.1416,0.9536,1.3666,,,
정리정돈상태×전문지도,0.1218,0.0869,0.1613,1.1295,0.9525,1.3393,,,
인증보유×안전보건공단지원,-0.0998,0.0877,0.2549,0.905,0.7621,1.0747,,,
안전조직수준×전문지도,-0.0993,0.0907,0.2736,0.9055,0.758,1.0816,,,
작업중지권×안전보건공단지원,-0.1056,0.1038,0.3088,0.8997,0.7341,1.1028,,,
작업중지권×전문지도,0.0765,0.0834,0.3591,1.0795,0.9167,1.2713,,0.136,0.151
안전조직수준×고용노동부감독,0.0855,0.0973,0.3792,1.0893,0.9002,1.3181,,,
위험성평가수준×전문지도,-0.0659,0.0786,0.4014,0.9362,0.8025,1.0921,,,
작업반장기여×고용노동부감독,-0.0738,0.0923,0.4237,0.9288,0.7751,1.113,,,
안전조직수준×안전보건공단지원,0.0541,0.0722,0.4537,1.0556,0.9163,1.2161,,,
인증보유×전문지도,0.051,0.0704,0.4693,1.0523,0.9166,1.208,,,
위원회수준×안전보건공단지원,0.0543,0.0818,0.5065,1.0558,0.8995,1.2394,,,
위원회수준×전문지도,-0.0474,0.0731,0.5163,0.9537,0.8264,1.1005,,,
교육훈련도움×고용노동부감독,-0.0554,0.0941,0.5563,0.9461,0.7868,1.1378,,,
교육훈련도움×안전보건공단지원,0.046,0.1005,0.6472,1.0471,0.8598,1.2751,,,
작업반장기여×안전보건공단지원,0.0513,0.1133,0.6507,1.0526,0.843,1.3144,,,
정리정돈상태×안전보건공단지원,0.0345,0.0988,0.7269,1.0351,0.8529,1.2561,,,
교육훈련도움×전문지도,0.0254,0.0918,0.782,1.0257,0.8569,1.2278,,,
작업중지권×고용노동부감독,0.0196,0.0913,0.8303,1.0198,0.8526,1.2197,,,
